País,Fecha de estudio,Enfermedad,Categoría,Ratios,Rango edad,Género,Tipo de tratamiento,Coste medio tratamiento (USD),Disponibilidad de vacuna/tratamiento
Nigeria,30/08/2023,Hipertensión,Respiratoria,4.21;75.32,0 - 18,Femenino,Cirugía,7804,N
Arabia Saudita,07/11/2021,Poliomielitis,Cardiovascular,3.76;52.98,61+,Femenino,Terapia,10669,S
Korea del Sur,28/06/2020,Zika,Genética,3.69;96.99,19 - 35,Ambos,Medicación,46982,N
Brasil,25/05/2020,Sarampión,Genética,3.67;61.25,19 - 35,Masculino,Medicación,8339,N
Italia,05/07/2020,Dengue,Parasitaria,3.59;56.73,36 - 60,Ambos,Vacunación,26092,S
Rusia,11/04/2022,Enfermedad de Parkinson,Viral,3.58;79.59,35+,Masculino,Vacunación,11693,S
Rusia,17/04/2023,Poliomielitis,Autoinmune,3.47;87.95,19 - 35,Masculino,Terapia,21165,N
EEUU,04/08/2024,Hipertensión,Cardiovascular,3.1;86.29,0 - 18,Femenino,Medicación,16727,N
Japón,18/06/2024,Hipertensión,Neurológica,2.73;86.82,61+,Femenino,Vacunación,23251,S
Nigeria,26/03/2022,VIH/SIDA,Bacteriana,2.64;94.01,0 - 18,Masculino,Medicación,40851,S
India,17/09/2021,Cólera,Parasitaria,2.62;80.49,36 - 60,Femenino,Terapia,31478,N
India,16/04/2020,Dengue,Respiratoria,2.47;69.96,35+,Ambos,Cirugía,29943,N
Korea del Sur,18/11/2021,Ébola,Parasitaria,2.39;60.5,61+,Masculino,Cirugía,12106,S
Italia,23/06/2020,Rabia,Metabólica,2.3;61.13,19 - 35,Femenino,Medicación,19385,S
Japón,02/08/2023,Zika,Crónica,2.03;55.39,36 - 60,Ambos,Cirugía,18212,N
Australia,06/05/2024,Poliomielitis,Genética,1.97;60.62,61+,Ambos,Cirugía,31453,N
Italia,14/04/2023,Malaria,Respiratoria,1.73;61.35,36 - 60,Ambos,Vacunación,39511,N
Australia,01/05/2021,Enfermedad de Alzheimer,Autoinmune,1.65;88.92,35+,Femenino,Vacunación,46206,S
China,31/03/2021,Poliomielitis,Bacteriana,1.35;60.59,19 - 35,Ambos,Cirugía,12553,S
Indonesia,07/01/2020,Asma,Genética,0.93;96.12,36 - 60,Masculino,Cirugía,22240,N
México,01/05/2021,Zika,Viral,0.93;57.94,0 - 18,Ambos,Terapia,41283,N
China,19/01/2024,Cáncer,Autoinmune,0.52;70.73,61+,Femenino,Cirugía,6164,N
India,02/03/2020,Lepra,Crónica,0.14;58.07,61+,Masculino,Terapia,45799,S
Francia,18/03/2022,Ébola,Parasitaria,9.93;62.48,18+,Masculino,Terapia,26647,N
Indonesia,15/08/2024,Malaria,Autoinmune,9.86;94.48,61+,Ambos,Terapia,11564,N
Korea del Sur,23/01/2020,Asma,Genética,9.86;88.34,36 - 60,Masculino,Medicación,3894,S
Argentina,06/06/2020,Cáncer,Autoinmune,9.8;71.32,0 - 18,Ambos,Terapia,48511,S
Arabia Saudita,16/11/2021,Gripe,Autoinmune,9.76;80.24,18+,Femenino,Medicación,27104,N
Nigeria,18/09/2020,Enfermedad de Parkinson,Autoinmune,9.74;75.65,19 - 35,Ambos,Vacunación,23172,N
Australia,23/10/2024,Diabetes,Respiratoria,9.63;69.6,61+,Masculino,Vacunación,48775,N
Canadá,22/06/2024,Poliomielitis,Respiratoria,9.52;78.78,61+,Masculino,Cirugía,41748,S
Brasil,06/08/2020,Cáncer,Metabólica,9.48;71.79,61+,Masculino,Medicación,38685,N
Argentina,20/05/2024,Malaria,Genética,9.35;97.06,61+,Masculino,Medicación,30308,N
Francia,16/10/2024,Hepatitis,Neurológica,9.35;70.61,18+,Masculino,Medicación,48509,S
Indonesia,04/12/2020,Tuberculosis,Cardiovascular,9.24;82.07,19 - 35,Femenino,Vacunación,34433,N
México,09/06/2024,Lepra,Autoinmune,9.08;85.24,36 - 60,Ambos,Terapia,43420,S
Brasil,11/12/2020,Cólera,Neurológica,9.07;57.35,36 - 60,Masculino,Terapia,1326,S
EEUU,22/10/2021,Hepatitis,Genética,9;53.27,19 - 35,Ambos,Cirugía,43882,N
Turquía,31/08/2024,Enfermedad de Alzheimer,Metabólica,8.96;56.04,35+,Masculino,Terapia,12479,S
Indonesia,19/09/2020,Cáncer,Metabólica,8.89;53.64,35+,Masculino,Terapia,2691,N
Reino Unido,09/06/2023,Malaria,Neurológica,8.84;80.12,0 - 18,Ambos,Vacunación,34633,S
Indonesia,13/12/2021,Asma,Cardiovascular,8.79;90.19,35+,Femenino,Vacunación,1670,S
Rusia,28/04/2020,Lepra,Respiratoria,8.52;79.36,36 - 60,Ambos,Vacunación,48845,N
Francia,29/04/2020,Cáncer,Genética,8.46;67.95,61+,Masculino,Vacunación,20789,S
Reino Unido,19/12/2023,Enfermedad de Alzheimer,Genética,8.37;95.07,19 - 35,Ambos,Medicación,21148,N
Argentina,16/04/2024,Lepra,Viral,8.35;61,0 - 18,Femenino,Vacunación,15791,S
EEUU,21/03/2022,Enfermedad de Alzheimer,Infecciosa,7.98;71.82,19 - 35,Femenino,Terapia,46614,S
China,21/02/2024,Poliomielitis,Infecciosa,7.88;89.86,19 - 35,Ambos,Terapia,28963,N
Canadá,10/02/2022,Poliomielitis,Metabólica,7.82;96.93,0 - 18,Femenino,Cirugía,49048,S
Italia,27/04/2021,Gripe,Infecciosa,7.8;89.2,19 - 35,Ambos,Cirugía,14928,N
Australia,14/04/2021,Enfermedad de Alzheimer,Neurológica,7.66;78,0 - 18,Femenino,Terapia,16828,N
Brasil,01/12/2021,Zika,Crónica,7.61;68.66,19 - 35,Ambos,Vacunación,3852,N
Japón,27/08/2020,Asma,Genética,7.55;71.58,19 - 35,Masculino,Cirugía,34613,S
Argentina,23/05/2020,Poliomielitis,Respiratoria,7.45;65.03,36 - 60,Ambos,Vacunación,17811,N
India,23/02/2023,Enfermedad de Parkinson,Crónica,7.28;81,35+,Masculino,Cirugía,32264,N
China,12/10/2020,Lepra,Infecciosa,7.25;50.48,35+,Ambos,Medicación,9536,S
Nigeria,14/05/2020,Lepra,Respiratoria,7.17;64.29,61+,Masculino,Vacunación,16241,S
Italia,20/08/2020,Cáncer,Cardiovascular,7.14;75.31,19 - 35,Ambos,Medicación,29412,S
Sudáfrica,16/02/2020,Malaria,Genética,7.1;74.72,0 - 18,Masculino,Medicación,16297,S
EEUU,07/05/2022,COVID-19,Parasitaria,7.1;65.05,36 - 60,Femenino,Terapia,10754,N
Japón,04/12/2021,Lepra,Autoinmune,7.05;73.4,61+,Masculino,Terapia,32112,N
Argentina,21/03/2021,VIH/SIDA,Infecciosa,7;97.99,36 - 60,Femenino,Cirugía,15165,N
EEUU,21/03/2022,Enfermedad de Parkinson,Cardiovascular,6.96;88.7,61+,Masculino,Medicación,3418,S
Canadá,03/02/2024,VIH/SIDA,Cardiovascular,6.94;82.27,61+,Femenino,Medicación,45222,N
Sudáfrica,15/07/2021,Sarampión,Metabólica,6.76;88.49,61+,Masculino,Cirugía,30910,N
México,16/04/2022,Dengue,Autoinmune,6.7;89.97,0 - 18,Masculino,Vacunación,30004,S
Francia,01/02/2021,Hipertensión,Respiratoria,6.53;61.93,0 - 18,Ambos,Terapia,19248,N
Indonesia,26/11/2021,Lepra,Crónica,6.49;67.24,0 - 18,Masculino,Vacunación,13763,S
Alemania,22/09/2024,Ébola,Infecciosa,6.46;56.21,36 - 60,Masculino,Terapia,17386,N
Rusia,11/09/2020,Cólera,Neurológica,6.29;54.46,36 - 60,Ambos,Medicación,31223,N
China,08/07/2021,Hepatitis,Crónica,6.24;80.73,61+,Masculino,Terapia,7453,S
Nigeria,18/07/2023,Cólera,Crónica,6.22;98.11,19 - 35,Ambos,Cirugía,27400,S
Alemania,24/10/2020,Lepra,Genética,6.11;60.15,0 - 18,Masculino,Medicación,42760,N
México,14/07/2020,Gripe,Metabólica,5.93;89.74,19 - 35,Femenino,Vacunación,3055,S
Argentina,21/11/2023,Diabetes,Cardiovascular,5.9;86.58,19 - 35,Femenino,Medicación,45226,S
Sudáfrica,15/12/2024,Lepra,Parasitaria,5.88;91.58,61+,Masculino,Cirugía,10070,S
Canadá,04/12/2021,Dengue,Cardiovascular,5.85;52.91,36 - 60,Femenino,Cirugía,31531,S
Canadá,23/11/2021,Malaria,Respiratoria,5.77;72.44,19 - 35,Ambos,Cirugía,18763,S
Reino Unido,23/09/2024,Cáncer,Bacteriana,5.55;69.17,61+,Masculino,Medicación,47401,N
Japón,21/07/2021,Dengue,Viral,5.55;65.28,36 - 60,Masculino,Terapia,21589,N
EEUU,27/09/2021,Poliomielitis,Autoinmune,5.53;60.19,61+,Masculino,Medicación,34594,N
México,19/05/2024,Lepra,Bacteriana,5.52;81.61,61+,Femenino,Cirugía,36427,N
China,21/01/2024,Lepra,Infecciosa,5.01;97.04,0 - 18,Ambos,Terapia,30129,N
Canadá,12/09/2023,Cólera,Crónica,4.96;55.36,19 - 35,Ambos,Terapia,47458,S
Australia,01/02/2023,Hipertensión,Cardiovascular,4.75;54.98,19 - 35,Femenino,Vacunación,42014,N
EEUU,06/05/2020,Lepra,Respiratoria,4.72;65.08,36 - 60,Ambos,Terapia,11515,S
Japón,17/09/2021,COVID-19,Infecciosa,4.7;65.65,0 - 18,Femenino,Medicación,48714,N
Alemania,16/05/2024,Poliomielitis,Bacteriana,4.69;87.89,0 - 18,Masculino,Cirugía,19358,S
Italia,17/11/2022,Rabia,Bacteriana,4.58;81.73,0 - 18,Femenino,Cirugía,36841,S
Canadá,18/11/2023,Tuberculosis,Autoinmune,4.35;68.15,61+,Ambos,Terapia,3898,N
Indonesia,25/09/2022,Ébola,Infecciosa,4.29;86.39,61+,Femenino,Medicación,21147,N
Canadá,20/06/2024,Diabetes,Bacteriana,4.25;80.23,0 - 18,Ambos,Vacunación,46348,N
Korea del Sur,19/01/2022,Rabia,Metabólica,3.97;71.22,19 - 35,Femenino,Cirugía,44041,N
Italia,28/12/2020,Asma,Cardiovascular,3.77;56.52,61+,Masculino,Terapia,7672,N
Francia,20/03/2024,Lepra,Bacteriana,3.51;79.26,19 - 35,Masculino,Cirugía,32685,N
Reino Unido,21/05/2021,Cáncer,Bacteriana,3.36;63.04,36 - 60,Ambos,Cirugía,25358,N
Alemania,30/08/2023,Hipertensión,Respiratoria,3.34;76.3,61+,Ambos,Medicación,34224,N
México,24/05/2023,Dengue,Crónica,3.31;73.08,35+,Masculino,Terapia,43276,S
Indonesia,13/05/2022,Diabetes,Bacteriana,3.1;81.6,61+,Femenino,Vacunación,31530,S
Sudáfrica,12/05/2024,Malaria,Autoinmune,2.46;95.78,19 - 35,Femenino,Terapia,25750,S
Francia,02/08/2024,VIH/SIDA,Bacteriana,2.29;92.94,61+,Masculino,Terapia,47905,S
Arabia Saudita,11/12/2022,Enfermedad de Parkinson,Infecciosa,2.21;84.21,36 - 60,Femenino,Vacunación,46929,N
Korea del Sur,28/04/2021,Enfermedad de Parkinson,Viral,2.18;53.81,19 - 35,Ambos,Vacunación,8323,N
Turquía,03/02/2023,Hipertensión,Crónica,2.06;92.81,36 - 60,Ambos,Cirugía,5296,S
Reino Unido,21/10/2020,Zika,Autoinmune,2.01;74.41,0 - 18,Femenino,Cirugía,15231,S
Korea del Sur,12/11/2021,Zika,Respiratoria,1.99;79.38,18+,Femenino,Vacunación,49898,N
Sudáfrica,20/07/2024,Malaria,Parasitaria,1.99;56.98,61+,Ambos,Medicación,12827,S
Australia,27/12/2022,Dengue,Metabólica,1.88;65.85,0 - 18,Masculino,Terapia,32065,S
Nigeria,03/09/2024,Hipertensión,Neurológica,1.83;51.33,36 - 60,Masculino,Vacunación,15716,N
Rusia,12/12/2022,Asma,Genética,1.76;90.79,18+,Femenino,Cirugía,20500,S
Canadá,21/01/2021,COVID-19,Genética,1.72;67.26,19 - 35,Femenino,Terapia,15676,N
India,09/03/2023,Cáncer,Autoinmune,1.54;76.79,61+,Ambos,Terapia,18488,N
Korea del Sur,23/08/2020,Hepatitis,Cardiovascular,1.53;95.99,61+,Ambos,Terapia,4433,N
Korea del Sur,08/08/2023,Cáncer,Viral,1.53;60.65,0 - 18,Masculino,Medicación,4929,S
Arabia Saudita,10/04/2021,COVID-19,Metabólica,1.41;77.08,61+,Masculino,Terapia,34499,S
Francia,23/07/2023,Ébola,Autoinmune,1.39;78.27,36 - 60,Ambos,Terapia,38405,N
Nigeria,25/06/2024,Cólera,Viral,1.26;75.6,36 - 60,Ambos,Terapia,43286,N
India,21/05/2021,Tuberculosis,Bacteriana,1.23;58.85,0 - 18,Femenino,Terapia,11459,N
Indonesia,10/07/2023,Sarampión,Autoinmune,1.09;64.6,19 - 35,Ambos,Vacunación,17591,N
EEUU,20/01/2024,Dengue,Respiratoria,0.9;84.72,0 - 18,Masculino,Terapia,26802,S
Indonesia,14/03/2023,Malaria,Bacteriana,0.82;98.95,36 - 60,Masculino,Medicación,35950,S
Turquía,07/06/2024,Hepatitis,Neurológica,0.65;54.15,61+,Ambos,Cirugía,26236,S
Japón,23/12/2021,Hepatitis,Bacteriana,0.36;72.32,35+,Ambos,Terapia,46023,S
Rusia,20/02/2021,Malaria,Genética,0.17;59.78,36 - 60,Femenino,Terapia,42541,S
Nigeria,10/03/2020,Malaria,Infecciosa,9.56;53.85,61+,Femenino,Medicación,18721,S
Turquía,23/02/2022,VIH/SIDA,Cardiovascular,9.53;64.84,19 - 35,Ambos,Terapia,1973,N
EEUU,26/03/2021,Enfermedad de Alzheimer,Viral,9.52;80.64,0 - 18,Ambos,Cirugía,19236,N
Korea del Sur,10/05/2023,COVID-19,Autoinmune,9.51;95.73,20+,Masculino,Cirugía,40792,N
Turquía,25/07/2023,Diabetes,Respiratoria,9.4;64.99,20+,Masculino,Cirugía,26341,S
Reino Unido,21/09/2022,Sarampión,Genética,9.37;89.12,0 - 18,Masculino,Vacunación,32801,S
Italia,03/09/2023,VIH/SIDA,Genética,9.31;53.12,61+,Femenino,Terapia,48880,S
Arabia Saudita,13/07/2021,Hipertensión,Crónica,9.3;60.96,0 - 18,Ambos,Terapia,17424,N
Arabia Saudita,16/07/2024,Hepatitis,Metabólica,9.2;71.6,61+,Ambos,Vacunación,44868,N
Sudáfrica,01/12/2022,Hipertensión,Viral,9.15;50.59,0 - 18,Masculino,Terapia,22040,N
Italia,18/09/2023,Tuberculosis,Viral,9.13;87.91,36 - 60,Ambos,Cirugía,47533,S
Alemania,24/12/2024,Sarampión,Bacteriana,9.11;93.31,61+,Femenino,Vacunación,24939,S
India,31/08/2024,Ébola,Genética,8.9;82.95,19 - 35,Ambos,Terapia,14042,N
Australia,31/07/2022,Asma,Genética,8.84;94.18,61+,Masculino,Terapia,49345,N
Sudáfrica,30/08/2021,COVID-19,Cardiovascular,8.76;62.81,0 - 18,Femenino,Medicación,28963,N
Japón,30/06/2023,Poliomielitis,Neurológica,8.7;56.66,61+,Masculino,Vacunación,37249,N
Italia,04/04/2021,Hipertensión,Respiratoria,8.49;90.11,19 - 35,Femenino,Terapia,12844,S
India,31/07/2021,Diabetes,Parasitaria,8.29;69.63,0 - 18,Femenino,Cirugía,45544,S
Italia,04/03/2020,Sarampión,Neurológica,8.17;68.96,36 - 60,Ambos,Cirugía,28919,S
Francia,03/06/2024,Lepra,Genética,7.82;96.53,36 - 60,Masculino,Terapia,18029,N
China,25/12/2023,VIH/SIDA,Parasitaria,7.76;67.72,0 - 18,Ambos,Vacunación,31691,N
Korea del Sur,13/11/2023,Malaria,Respiratoria,7.64;67.51,0 - 18,Ambos,Cirugía,10097,S
Sudáfrica,08/05/2023,Hipertensión,Autoinmune,7.61;75.26,19 - 35,Masculino,Terapia,23481,S
EEUU,20/07/2020,Enfermedad de Parkinson,Crónica,7.56;62.11,61+,Ambos,Vacunación,13713,S
Italia,18/07/2022,Hipertensión,Respiratoria,7.55;80.48,0 - 18,Ambos,Cirugía,32705,S
México,31/08/2022,Tuberculosis,Genética,7.18;76.15,19 - 35,Ambos,Terapia,15290,S
Alemania,08/01/2023,Enfermedad de Parkinson,Metabólica,6.98;85.15,19 - 35,Femenino,Vacunación,21277,S
México,01/08/2020,Cáncer,Neurológica,6.93;66.12,19 - 35,Ambos,Medicación,20487,N
EEUU,28/03/2024,Zika,Crónica,6.87;92.2,0 - 18,Ambos,Terapia,10376,N
México,28/09/2021,Malaria,Parasitaria,6.74;54.17,19 - 35,Masculino,Terapia,42055,S
Korea del Sur,02/07/2020,Cólera,Cardiovascular,6.66;84.84,19 - 35,Masculino,Medicación,34144,S
Alemania,07/05/2020,VIH/SIDA,Metabólica,6.64;56.57,61+,Ambos,Cirugía,30243,N
India,30/08/2023,Rabia,Metabólica,6.6;58.5,36 - 60,Masculino,Vacunación,23318,N
Sudáfrica,03/11/2020,Zika,Genética,6.6;50.72,19 - 35,Femenino,Cirugía,14502,N
Francia,17/06/2024,Asma,Respiratoria,6.52;76.09,61+,Ambos,Medicación,26739,N
Brasil,31/10/2020,Tuberculosis,Cardiovascular,6.41;53.91,19 - 35,Ambos,Terapia,41467,N
Arabia Saudita,01/12/2021,Malaria,Genética,6.39;71.32,36 - 60,Ambos,Vacunación,18107,S
Francia,03/11/2020,Tuberculosis,Metabólica,6.22;89.2,18+,Femenino,Medicación,29340,N
Argentina,16/04/2024,Dengue,Neurológica,6.16;69.7,36 - 60,Masculino,Vacunación,24383,S
India,19/08/2021,Ébola,Neurológica,5.9;96.6,0 - 18,Ambos,Terapia,42603,N
Japón,05/01/2021,Ébola,Metabólica,5.86;59.22,0 - 18,Femenino,Cirugía,26686,S
Francia,18/04/2023,Rabia,Respiratoria,5.81;75.15,61+,Femenino,Medicación,7838,N
Australia,02/02/2022,Cólera,Bacteriana,5.59;93.25,61+,Femenino,Medicación,24009,N
China,25/05/2023,Gripe,Crónica,5.36;60.51,0 - 18,Ambos,Vacunación,43817,S
Italia,06/03/2024,Sarampión,Neurológica,5.34;53.69,0 - 18,Femenino,Vacunación,1727,N
Japón,24/07/2024,Diabetes,Viral,5.27;72.27,61+,Femenino,Cirugía,7085,N
India,24/12/2021,VIH/SIDA,Viral,5.26;55.44,18+,Masculino,Cirugía,9142,S
Nigeria,03/06/2022,Malaria,Crónica,5.24;72.62,61+,Femenino,Medicación,491,S
Canadá,21/03/2024,VIH/SIDA,Metabólica,5.05;88.81,18+,Femenino,Vacunación,40733,N
Brasil,14/07/2022,COVID-19,Parasitaria,4.97;54.28,61+,Ambos,Medicación,2039,N
Alemania,29/04/2020,Ébola,Infecciosa,4.74;82.66,0 - 18,Ambos,Medicación,10647,N
Korea del Sur,16/05/2021,Sarampión,Parasitaria,4.72;91.21,36 - 60,Ambos,Medicación,29402,S
Indonesia,27/12/2024,Poliomielitis,Parasitaria,4.7;52.46,35+,Masculino,Terapia,41644,N
Japón,12/06/2021,Hipertensión,Metabólica,4.68;88.94,36 - 60,Masculino,Medicación,35864,S
Sudáfrica,15/06/2021,Ébola,Viral,4.66;70.1,36 - 60,Ambos,Terapia,44724,N
Arabia Saudita,28/02/2021,Asma,Bacteriana,4.58;94.78,0 - 18,Femenino,Medicación,28715,S
Arabia Saudita,16/09/2020,COVID-19,Cardiovascular,4.31;91.9,36 - 60,Femenino,Vacunación,31536,N
Brasil,01/03/2024,Malaria,Neurológica,4.1;60.24,18+,Femenino,Terapia,47971,S
Brasil,23/03/2021,Cólera,Infecciosa,3.92;74.91,0 - 18,Masculino,Cirugía,33482,S
México,05/02/2023,Asma,Neurológica,3.87;57.57,0 - 18,Ambos,Vacunación,39743,N
Alemania,05/11/2022,Enfermedad de Alzheimer,Infecciosa,3.86;97.07,0 - 18,Masculino,Vacunación,48316,N
Alemania,18/03/2023,Hipertensión,Crónica,3.83;52.48,61+,Ambos,Cirugía,16916,S
Nigeria,05/07/2023,Malaria,Genética,3.79;53.32,18+,Masculino,Terapia,45120,S
Reino Unido,20/02/2022,Diabetes,Bacteriana,3.77;74.74,19 - 35,Masculino,Vacunación,41515,S
Francia,05/05/2023,Hepatitis,Autoinmune,3.66;92.62,61+,Masculino,Vacunación,5788,S
Indonesia,04/02/2024,Asma,Parasitaria,3.61;79.97,19 - 35,Ambos,Vacunación,2841,S
Sudáfrica,16/09/2022,Diabetes,Crónica,3.57;96.38,19 - 35,Masculino,Vacunación,10782,N
Alemania,24/11/2024,Sarampión,Viral,3.48;95.6,19 - 35,Masculino,Medicación,9503,S
Australia,15/11/2021,Malaria,Parasitaria,3.46;94.68,0 - 18,Femenino,Medicación,42726,S
Rusia,05/08/2021,Enfermedad de Alzheimer,Neurológica,3.41;76.35,36 - 60,Ambos,Cirugía,9589,S
Reino Unido,26/08/2020,Sarampión,Neurológica,3.39;96.89,19 - 35,Masculino,Cirugía,2793,S
EEUU,18/06/2020,Enfermedad de Alzheimer,Infecciosa,3.27;98.75,19 - 35,Ambos,Terapia,29597,N
Australia,14/01/2023,COVID-19,Autoinmune,3.25;72.68,36 - 60,Ambos,Terapia,27213,N
Francia,25/06/2022,Asma,Autoinmune,3.15;75.12,0 - 18,Ambos,Vacunación,39005,N
EEUU,25/01/2022,Ébola,Cardiovascular,3.12;82.69,36 - 60,Ambos,Medicación,36545,S
Francia,28/12/2024,Cólera,Neurológica,3.06;92.5,0 - 18,Masculino,Terapia,1622,S
India,31/01/2023,Hipertensión,Cardiovascular,3.06;72.56,19 - 35,Ambos,Cirugía,28003,S
Sudáfrica,15/10/2024,Enfermedad de Alzheimer,Metabólica,3.01;77.29,19 - 35,Ambos,Terapia,40530,S
Alemania,25/10/2022,Hipertensión,Neurológica,2.92;75.15,0 - 18,Femenino,Cirugía,12512,S
Arabia Saudita,24/06/2023,Poliomielitis,Metabólica,2.82;58.61,19 - 35,Ambos,Medicación,47584,N
Australia,24/01/2022,Gripe,Cardiovascular,2.79;89.43,61+,Femenino,Medicación,44176,S
Arabia Saudita,27/10/2022,Cólera,Parasitaria,2.73;58.77,61+,Femenino,Medicación,48723,S
Sudáfrica,17/03/2020,VIH/SIDA,Genética,2.48;81.61,0 - 18,Ambos,Vacunación,23673,S
Francia,12/11/2021,Cólera,Metabólica,2.24;95.68,36 - 60,Masculino,Cirugía,27695,S
Sudáfrica,25/02/2024,Enfermedad de Parkinson,Viral,2.02;85,0 - 18,Femenino,Terapia,28344,N
Alemania,05/04/2022,Tuberculosis,Parasitaria,1.92;68.68,61+,Ambos,Vacunación,1886,S
Italia,22/11/2021,COVID-19,Neurológica,1.77;61.23,0 - 18,Ambos,Terapia,9038,S
Francia,12/07/2024,Poliomielitis,Autoinmune,1.21;74.48,36 - 60,Ambos,Vacunación,13070,N
Arabia Saudita,01/01/2023,COVID-19,Cardiovascular,1.19;61.16,20+,Masculino,Medicación,9470,S
Rusia,27/10/2020,Poliomielitis,Bacteriana,0.89;95.48,36 - 60,Ambos,Vacunación,18058,N
Rusia,22/01/2023,Gripe,Bacteriana,0.7;82.98,35+,Masculino,Terapia,27252,N
Francia,23/05/2023,Enfermedad de Parkinson,Autoinmune,0.7;82.56,19 - 35,Ambos,Medicación,3772,S
Reino Unido,06/08/2024,COVID-19,Respiratoria,0.51;52.99,0 - 18,Ambos,Terapia,7929,S
Korea del Sur,21/09/2024,Enfermedad de Parkinson,Genética,0.46;86.28,18+,Femenino,Terapia,25950,N
Canadá,22/04/2024,Diabetes,Neurológica,0.21;67.65,61+,Masculino,Medicación,21615,S
Sudáfrica,27/04/2021,Tuberculosis,Neurológica,0.2;76.64,36 - 60,Ambos,Terapia,1882,N
Korea del Sur,30/06/2022,Rabia,Genética,9.77;72.86,35+,Masculino,Vacunación,19901,S
Rusia,12/08/2021,Ébola,Autoinmune,9.6;56.61,0 - 18,Femenino,Terapia,15983,N
Japón,16/02/2021,COVID-19,Infecciosa,9.33;60.58,61+,Femenino,Terapia,37396,N
Canadá,21/04/2020,Hepatitis,Autoinmune,9.29;54.73,36 - 60,Masculino,Vacunación,17096,N
Indonesia,20/07/2024,Lepra,Viral,9.27;86.56,61+,Ambos,Vacunación,6892,N
China,15/05/2022,Zika,Viral,9.23;70.61,61+,Masculino,Cirugía,10785,N
Rusia,30/07/2020,Sarampión,Autoinmune,9.22;92.28,61+,Ambos,Medicación,28594,N
Arabia Saudita,03/04/2024,Ébola,Infecciosa,9.2;68.62,18+,Femenino,Terapia,9162,S
